quotation,cusref,cusname,season,machine,complexity,gauge,qty quo,std_min,cost_min,knit_min,mup_min,tech_min,fin_min,quo_weight,gar_weight,wet_process,wet_process_cost,variable_cost ,yarn_cost,total_cost,sales_price,perc_ros,profit_pce,contrib_pce,contrib_min,profit
210102901,MILANO TWIN PCT BTN,Marks & Spencer Plc T30 Gents,AW21N,Automatic,M,12,"3,585",89,2,83,49,8,6,694,630,Normal Wash Std,10,216,164,216,636,24,154,420,3,Y
210022601,T20.841,Woolworths (Pty) Ltd Mainstream Ladies,AW21S,Automatic,M,5,"3,900",83,2,76,28,0,5,442,384,Normal Wash Soft,28,213,151,213,394,-16,-61,182,2,N
210110601,21PUL14,Mr Blue Gents,SS21N,Automatic,S,12,1,89,2,65,32,2,5,292,322,Tropical Dye,175,149,60,169,365,-7,-26,215,2,N
210148601,LADIES T ZIP,The House Of Bruar Ladies,AW21N,Hand Flat,S,7,543,95,3,45,28,7,4,258,260,Normal Wash Soft,28,318,241,357,734,18,135,416,5,Y
210148701,MENS CLASSIC CREW NECK,The House Of Bruar Gents,AW21N,Hand Flat,S,7,"3,001",95,2,49,23,0,4,330,300,Normal Wash Soft,28,358,299,391,628,23,143,271,4,Y
210148801,MENS CLASSIC VEE NECK,The House Of Bruar Gents,AW21N,Hand Flat,S,7,"1,520",95,2,46,23,0,4,320,290,Normal Wash Soft,28,348,290,381,628,18,115,280,4,Y
210148901,MENS CLASSIC SLIPOVER,The House Of Bruar Gents,AW21N,Hand Flat,S,7,"1,156",95,3,35,32,0,3,223,200,Normal Wash Soft,28,258,207,286,538,8,45,281,4,Y
210090401,AH1952,Lacoste Gents SPW,AW21N,Automatic,C,10,"12,531",83,2,39,33,3,5,354,330,Normal Wash Soft,28,438,310,438,762,19,148,325,4,Y
210160001,PLAIN POLO COLLAR,Brentwood Gents,AW21S,Hand Flat,S,12,"3,001",95,2,85,42,7,5,315,0,Piece Dye Cotton,130,147,55,187,474,19,92,328,2,Y
210075627,GENTS V &,Dunnes Stores Gents,SS21N,Hand Flat,S,12,"3,600",90,2,78,32,0,6,255,232,Merino Wash,10,362,296,396,639,15,98,277,2,Y
210075628,GENTS V &,Dunnes Stores Gents,SS21N,Automatic,S,7,"1,600",89,2,37,36,0,7,385,350,Felted Finish,16,310,243,347,689,28,195,379,5,Y
210075629,GENTS V &,Dunnes Stores Gents,SS21N,Automatic,S,7,"2,000",89,2,85,57,28,7,671,610,Felted Finish,16,317,245,359,781,7,56,464,3,Y
210071813,YASH-7gge 1/2 cardigan,Cape Union Mart Old Khaki Gents,AW21S,Hand Flat,S,7,"2,500",95,2,66,34,8,5,660,615,Normal Wash Soft,28,185,116,197,518,15,76,334,3,Y
